S,D,N,Su,lSlotted,lUnslotted
0,0,25,1,0,0.2
4,1,16,1,0.8,0.2
4,2,27,6,0.8,1.2
64,2,34,19,12.8,3.8
231,1,46,28,46.2,5.6
28,1,88,121,5.6,24.2
35,1,120,159,7,31.8
41,5,169,233,8.2,46.6
37,7,97,530,7.4,106
2529,2,136,334,471,66.8
208,6,232,187,41.6,37.4
36,11,246,187,7.2,37.4
14,12,290,151,2.8,30.2
2,6,379,77,0.4,15.4
14,4,537,111,2.8,22.2
28,3,686,53,5.6,10.6
113,3,909,139,22.6,27.8
3,3,942,91,0.6,18.2
0,5,999,74,0,14.8
0,0,751,31,0,6.2
0,5,562,61,0,12.2
0,0,363,63,0,12.6
0,3,396,173,0,34.6
0,0,259,18,0,3.6
0,2,229,26,0,5.2
1,15,158,53,0.2,10.6
0,2,164,12,0,2.4
0,1,121,6,0,1.2
283,0,78,23,17,4.6
91,0,81,4,18.2,0.8
0,0,185,1,0,0.2
0,0,85,6,0,1.2
0,1,60,8,0,1.6
0,0,76,11,0,2.2
0,1,78,190,0,38
0,0,81,173,0,34.6
0,1,102,198,0,39.6
0,1,126,59,0,11.8
0,2,95,12,0,2.4
0,1,79,9,0,1.8
