type,time,total_objects
Dlnt,1,9891.149449735918
Dlnt,2,7919.169549547752
Dlnt,3,7508.4372598627815
Dlnt,4,6964.504470440988
Dlnt,5,6594.369469918504
Dlnt,6,6379.6581700462575
Dlnt,7,6124.7107319935885
Dlnt,8,5911.775308391397
Dlnt,9,5766.939409882056
Dlnt,10,5652.986198514074
Dlnt,11,5544.134171647356
Dlt,1,123201.19183225208
Dlt,2,104063.15397244791
Dlt,3,95846.35335337518
Dlt,4,91712.23604771162
Dlt,5,89919.09666157274
Dlt,6,88327.04627095062
Dlt,7,86328.7948156773
Dlt,8,83373.20852524778
Dlt,9,80600.83573326643
Dlt,10,77209.48632476601
Dlt,11,75701.96784124649
Dst,1,51486.044552392064
Dst,2,41852.888569907656
Dst,3,39278.18796683988
Dst,4,37726.92090827269
Dst,5,35707.20856750183
Dst,6,34930.63557615035
Dst,7,33984.75290918301
Dst,8,33174.6056010818
Dst,9,32207.77632422625
Dst,10,31065.502030684358
Dst,11,30797.297315494747
S,1,3765.9332491233326
S,2,3632.0406204211195
S,3,3718.3326761333838
S,4,3701.08463992182
S,5,3704.533528896615
S,6,3703.847472283264
S,7,3703.9841692054633
S,8,3703.956970411334
S,9,3703.965231428088
S,10,3703.9635214434916
S,11,3703.9638965377344
Su,1,3638.7770169215687
Su,2,4725.774594808685
Su,3,3780.4495004823425
Su,4,4981.556055659111
Su,5,3985.107255356353
Su,6,5014.289504766943
Su,7,4011.320034982226
Su,8,5018.472117194807
Su,9,4014.6836645932503
Su,10,5019.007807750062
Su,11,4015.118339689293
