type,max_value,time_of_max,location_of_max,avg_launch_rate,max_cagr,time_of_max_cagr,location_of_max_cagr,harmonic_mean_cagr
D,1226.97,4,497.5,NA,Inf,1,217.5,-0.09
N,999,1,847.5,NA,0.38,1,1232.5,0
S,2529,1,532.5,NA,-0,1,252.5,-0.01
Su,984.79,16,287.5,NA,15.62,1,287.5,-34.8
cost,1965005,0,707.5,NA,0,0,217.5,0
gross.ror,0.4,4,497.5,NA,0.35,1,217.5,0.35
lSlotted,471,1,532.5,16.96,0,1,532.5,0
lUnslotted,567.22,5,322.5,15.14,Inf,1,287.5,-19.12
llCost,750000,0,707.5,541446.34,0,0,532.5,0
risk.free.npv,881406.81,2,497.5,NA,-0.22,1,497.5,-0.69
skCost,134350.67,0,217.5,NA,0,0,217.5,0
