range,Count
"(6578.1366, 6613.1366]",25
"(6613.1366, 6648.1366]",16
"(6648.1366, 6683.1366]",27
"(6683.1366, 6718.1366]",34
"(6718.1366, 6753.1366]",46
"(6753.1366, 6788.1366]",88
"(6788.1366, 6823.1366]",120
"(6823.1366, 6858.1366]",169
"(6858.1366, 6893.1366]",97
"(6893.1366, 6928.1366]",136
"(6928.1366, 6963.1366]",232
"(6963.1366, 6998.1366]",246
"(6998.1366, 7033.1366]",290
"(7033.1366, 7068.1366]",379
"(7068.1366, 7103.1366]",537
"(7103.1366, 7138.1366]",686
"(7138.1366, 7173.1366]",909
"(7173.1366, 7208.1366]",942
"(7208.1366, 7243.1366]",999
"(7243.1366, 7278.1366]",751
"(7278.1366, 7313.1366]",562
"(7313.1366, 7348.1366]",363
"(7348.1366, 7383.1366]",396
"(7383.1366, 7418.1366]",259
"(7418.1366, 7453.1366]",229
"(7453.1366, 7488.1366]",158
"(7488.1366, 7523.1366]",164
"(7523.1366, 7558.1366]",121
"(7558.1366, 7593.1366]",78
"(7593.1366, 7628.1366]",81
"(7628.1366, 7663.1366]",185
"(7663.1366, 7698.1366]",85
"(7698.1366, 7733.1366]",60
"(7733.1366, 7768.1366]",76
"(7768.1366, 7803.1366]",78
"(7803.1366, 7838.1366]",81
"(7838.1366, 7873.1366]",102
"(7873.1366, 7908.1366]",126
"(7908.1366, 7943.1366]",95
"(7943.1366, 7978.1366]",79
