range,Count
"(6578.1366, 6613.1366]",0
"(6613.1366, 6648.1366]",1
"(6648.1366, 6683.1366]",2
"(6683.1366, 6718.1366]",2
"(6718.1366, 6753.1366]",1
"(6753.1366, 6788.1366]",1
"(6788.1366, 6823.1366]",1
"(6823.1366, 6858.1366]",5
"(6858.1366, 6893.1366]",7
"(6893.1366, 6928.1366]",2
"(6928.1366, 6963.1366]",6
"(6963.1366, 6998.1366]",11
"(6998.1366, 7033.1366]",12
"(7033.1366, 7068.1366]",6
"(7068.1366, 7103.1366]",4
"(7103.1366, 7138.1366]",3
"(7138.1366, 7173.1366]",3
"(7173.1366, 7208.1366]",3
"(7208.1366, 7243.1366]",5
"(7243.1366, 7278.1366]",0
"(7278.1366, 7313.1366]",5
"(7313.1366, 7348.1366]",0
"(7348.1366, 7383.1366]",3
"(7383.1366, 7418.1366]",0
"(7418.1366, 7453.1366]",2
"(7453.1366, 7488.1366]",15
"(7488.1366, 7523.1366]",2
"(7523.1366, 7558.1366]",1
"(7558.1366, 7593.1366]",0
"(7593.1366, 7628.1366]",0
"(7628.1366, 7663.1366]",0
"(7663.1366, 7698.1366]",0
"(7698.1366, 7733.1366]",1
"(7733.1366, 7768.1366]",0
"(7768.1366, 7803.1366]",1
"(7803.1366, 7838.1366]",0
"(7838.1366, 7873.1366]",1
"(7873.1366, 7908.1366]",1
"(7908.1366, 7943.1366]",2
"(7943.1366, 7978.1366]",1
