range,Count
"(6578.1366, 6613.1366]",1
"(6613.1366, 6648.1366]",1
"(6648.1366, 6683.1366]",6
"(6683.1366, 6718.1366]",19
"(6718.1366, 6753.1366]",28
"(6753.1366, 6788.1366]",121
"(6788.1366, 6823.1366]",159
"(6823.1366, 6858.1366]",233
"(6858.1366, 6893.1366]",530
"(6893.1366, 6928.1366]",334
"(6928.1366, 6963.1366]",187
"(6963.1366, 6998.1366]",187
"(6998.1366, 7033.1366]",151
"(7033.1366, 7068.1366]",77
"(7068.1366, 7103.1366]",111
"(7103.1366, 7138.1366]",53
"(7138.1366, 7173.1366]",139
"(7173.1366, 7208.1366]",91
"(7208.1366, 7243.1366]",74
"(7243.1366, 7278.1366]",31
"(7278.1366, 7313.1366]",61
"(7313.1366, 7348.1366]",63
"(7348.1366, 7383.1366]",173
"(7383.1366, 7418.1366]",18
"(7418.1366, 7453.1366]",26
"(7453.1366, 7488.1366]",53
"(7488.1366, 7523.1366]",12
"(7523.1366, 7558.1366]",6
"(7558.1366, 7593.1366]",23
"(7593.1366, 7628.1366]",4
"(7628.1366, 7663.1366]",1
"(7663.1366, 7698.1366]",6
"(7698.1366, 7733.1366]",8
"(7733.1366, 7768.1366]",11
"(7768.1366, 7803.1366]",190
"(7803.1366, 7838.1366]",173
"(7838.1366, 7873.1366]",198
"(7873.1366, 7908.1366]",59
"(7908.1366, 7943.1366]",12
"(7943.1366, 7978.1366]",9
